W017,None,{'station': 'W017', 'az': 11.9052, 'dist': '55.3319', 'pga': 3.23, 'date': '2011-12-02', 'time': '00:55:24'}
W018,None,{'station': 'W018', 'az': 18.0676, 'dist': '53.6316', 'pga': 9.152, 'date': '2011-12-02', 'time': '00:55:24'}
W019,None,{'station': 'W019', 'az': 347.89, 'dist': '32.5344', 'pga': 6.639, 'date': '2011-12-02', 'time': '00:55:24'}
W01D,None,{'station': 'W01D', 'az': 15.3161, 'dist': '88.8709', 'pga': 1.077, 'date': '2011-12-02', 'time': '00:55:24'}
W01F,None,{'station': 'W01F', 'az': 333.967, 'dist': '20.103', 'pga': 21.473, 'date': '2011-12-02', 'time': '00:55:24'}
W020,None,{'station': 'W020', 'az': 357.751, 'dist': '29.9217', 'pga': 8.793, 'date': '2011-12-02', 'time': '00:55:24'}
W021,None,{'station': 'W021', 'az': 16.095, 'dist': '74.1988', 'pga': 25.66, 'date': '2011-12-02', 'time': '00:55:24'}
W042,None,{'station': 'W042', 'az': 12.2242, 'dist': '197.303', 'pga': 0.419, 'date': '2011-12-02', 'time': '00:55:24'}
W059,None,{'station': 'W059', 'az': 269.051, 'dist': '71.7773', 'pga': 3.529, 'date': '2011-12-02', 'time': '00:55:24'}
W072,None,{'station': 'W072', 'az': 341.098, 'dist': '107.915', 'pga': 1.017, 'date': '2011-12-02', 'time': '00:55:24'}
W077,None,{'station': 'W077', 'az': 322.876, 'dist': '105.795', 'pga': 0.718, 'date': '2011-12-02', 'time': '00:55:24'}
W078,None,{'station': 'W078', 'az': 335.393, 'dist': '95.7563', 'pga': 0.897, 'date': '2011-12-02', 'time': '00:55:24'}
W079,None,{'station': 'W079', 'az': 335.164, 'dist': '107.771', 'pga': 0.718, 'date': '2011-12-02', 'time': '00:55:24'}
W07E,None,{'station': 'W07E', 'az': 328.163, 'dist': '121.866', 'pga': 2.034, 'date': '2011-12-02', 'time': '00:55:24'}
W083,None,{'station': 'W083', 'az': 354.308, 'dist': '119.969', 'pga': 1.316, 'date': '2011-12-02', 'time': '00:55:24'}
W084,None,{'station': 'W084', 'az': 339.039, 'dist': '104.655', 'pga': 0.658, 'date': '2011-12-02', 'time': '00:55:24'}
W087,None,{'station': 'W087', 'az': 324.925, 'dist': '79.2753', 'pga': 1.495, 'date': '2011-12-02', 'time': '00:55:24'}
W08A,None,{'station': 'W08A', 'az': 324.975, 'dist': '116.7', 'pga': 1.256, 'date': '2011-12-02', 'time': '00:55:24'}
W08E,None,{'station': 'W08E', 'az': 324.892, 'dist': '108.589', 'pga': 2.034, 'date': '2011-12-02', 'time': '00:55:24'}
W095,None,{'station': 'W095', 'az': 322.22, 'dist': '116.97', 'pga': 1.196, 'date': '2011-12-02', 'time': '00:55:24'}
W096,None,{'station': 'W096', 'az': 339.291, 'dist': '128.403', 'pga': 0.479, 'date': '2011-12-02', 'time': '00:55:24'}
W001,None,{'station': 'W001', 'az': 202.282, 'dist': '166.42', 'pga': 0.718, 'date': '2011-12-02', 'time': '15:25:38'}
W003,None,{'station': 'W003', 'az': 203.313, 'dist': '118.121', 'pga': 0.897, 'date': '2011-12-02', 'time': '15:25:38'}
W008,None,{'station': 'W008', 'az': 201.92, 'dist': '105.804', 'pga': 0.419, 'date': '2011-12-02', 'time': '15:25:38'}
W00A,None,{'station': 'W00A', 'az': 203.237, 'dist': '128.618', 'pga': 0.419, 'date': '2011-12-02', 'time': '15:25:38'}
W00F,None,{'station': 'W00F', 'az': 200.847, 'dist': '99.986', 'pga': 0.538, 'date': '2011-12-02', 'time': '15:25:38'}
W014,None,{'station': 'W014', 'az': 204.015, 'dist': '85.3181', 'pga': 0.957, 'date': '2011-12-02', 'time': '15:25:38'}
W015,None,{'station': 'W015', 'az': 204.575, 'dist': '135.776', 'pga': 0.419, 'date': '2011-12-02', 'time': '15:25:38'}
W017,None,{'station': 'W017', 'az': 199.934, 'dist': '155.967', 'pga': 0.479, 'date': '2011-12-02', 'time': '15:25:38'}
W018,None,{'station': 'W018', 'az': 197.756, 'dist': '157.293', 'pga': 0.479, 'date': '2011-12-02', 'time': '15:25:38'}
W019,None,{'station': 'W019', 'az': 202.952, 'dist': '183.39', 'pga': 0.419, 'date': '2011-12-02', 'time': '15:25:38'}
W01D,None,{'station': 'W01D', 'az': 199.594, 'dist': '122.179', 'pga': 0.419, 'date': '2011-12-02', 'time': '15:25:38'}
W01F,None,{'station': 'W01F', 'az': 201.945, 'dist': '196.874', 'pga': 0.419, 'date': '2011-12-02', 'time': '15:25:38'}
W020,None,{'station': 'W020', 'az': 201.089, 'dist': '183.07', 'pga': 0.359, 'date': '2011-12-02', 'time': '15:25:38'}
W021,None,{'station': 'W021', 'az': 198.741, 'dist': '136.766', 'pga': 0.359, 'date': '2011-12-02', 'time': '15:25:38'}
W042,None,{'station': 'W042', 'az': 250.012, 'dist': '23.6139', 'pga': 0.837, 'date': '2011-12-02', 'time': '15:25:38'}
W059,None,{'station': 'W059', 'az': 214.127, 'dist': '243.502', 'pga': 0.419, 'date': '2011-12-02', 'time': '15:25:38'}
W072,None,{'station': 'W072', 'az': 225.254, 'dist': '139.857', 'pga': 0.419, 'date': '2011-12-02', 'time': '15:25:38'}
W077,None,{'station': 'W077', 'az': 227.868, 'dist': '173.01', 'pga': 0.538, 'date': '2011-12-02', 'time': '15:25:38'}
W078,None,{'station': 'W078', 'az': 222.593, 'dist': '154.13', 'pga': 0.658, 'date': '2011-12-02', 'time': '15:25:38'}
W079,None,{'station': 'W079', 'az': 226.877, 'dist': '150.24', 'pga': 0.359, 'date': '2011-12-02', 'time': '15:25:38'}
W07E,None,{'station': 'W07E', 'az': 233.018, 'dist': '161.047', 'pga': 0.538, 'date': '2011-12-02', 'time': '15:25:38'}
W07F,None,{'station': 'W07F', 'az': 223.192, 'dist': '137.058', 'pga': 0.538, 'date': '2011-12-02', 'time': '15:25:38'}
W083,None,{'station': 'W083', 'az': 223.149, 'dist': '111.408', 'pga': 0.658, 'date': '2011-12-02', 'time': '15:25:38'}
W084,None,{'station': 'W084', 'az': 224.726, 'dist': '144.704', 'pga': 0.239, 'date': '2011-12-02', 'time': '15:25:38'}
W087,None,{'station': 'W087', 'az': 219.069, 'dist': '174.685', 'pga': 0.419, 'date': '2011-12-02', 'time': '15:25:38'}
W08A,None,{'station': 'W08A', 'az': 231.412, 'dist': '168.079', 'pga': 0.538, 'date': '2011-12-02', 'time': '15:25:38'}
W08E,None,{'station': 'W08E', 'az': 228.67, 'dist': '168.971', 'pga': 0.419, 'date': '2011-12-02', 'time': '15:25:38'}
W095,None,{'station': 'W095', 'az': 231.58, 'dist': '173.68', 'pga': 0.479, 'date': '2011-12-02', 'time': '15:25:38'}
W096,None,{'station': 'W096', 'az': 233.763, 'dist': '136.001', 'pga': 0.479, 'date': '2011-12-02', 'time': '15:25:38'}
W001,None,{'station': 'W001', 'az': 192.854, 'dist': '56.6907', 'pga': 0.778, 'date': '2011-12-03', 'time': '01:30:17'}
W003,None,{'station': 'W003', 'az': 159.733, 'dist': '10.3371', 'pga': 48.031, 'date': '2011-12-03', 'time': '01:30:17'}
W008,None,{'station': 'W008', 'az': 86.5538, 'dist': '10.8141', 'pga': 12.92, 'date': '2011-12-03', 'time': '01:30:17'}
W00A,None,{'station': 'W00A', 'az': 181.124, 'dist': '19.423', 'pga': 6.52, 'date': '2011-12-03', 'time': '01:30:17'}
W00F,None,{'station': 'W00F', 'az': 69.8914, 'dist': '15.6463', 'pga': 5.264, 'date': '2011-12-03', 'time': '01:30:17'}
W014,None,{'station': 'W014', 'az': 36.5721, 'dist': '26.0108', 'pga': 11.963, 'date': '2011-12-03', 'time': '01:30:17'}
W015,None,{'station': 'W015', 'az': 193.822, 'dist': '25.4687', 'pga': 3.888, 'date': '2011-12-03', 'time': '01:30:17'}
W017,None,{'station': 'W017', 'az': 183.243, 'dist': '47.941', 'pga': 0.538, 'date': '2011-12-03', 'time': '01:30:17'}
W018,None,{'station': 'W018', 'az': 177.191, 'dist': '51.0851', 'pga': 0.658, 'date': '2011-12-03', 'time': '01:30:17'}
